EQ1.1 : 2006.0192
E
HAR3	2014.41480	0.00000
IPS1	2014.43120	0.00000
IPSA	2014.39290	17.03310
ISTI	2014.39840	-1.94607
IZMI	2014.39290	2.88045
KAL1	2015.01440	0.00000
KAL2	2014.82550	-5.63353
KATE	2014.39290	1.94043
KAV1	2014.39840	-2.41446
KIKA	2014.39290	2.09309
KIRL	2014.39290	3.86142
KOMO	2014.40380	6.57562
KORI	2014.39840	-2.14052
KRU1	2014.39840	5.56823
KRYO	NO_DATA_AFTER_EVENT	N/A
KYMI	2015.01440	0.00000
LEMN	2014.39290	-50.51645
LES4	2015.01440	0.00000
LYGO	2015.04180	0.00000
MET0	2014.39840	-2.08853
NOA1	2014.39290	1.48049
NVRK	NO_DATA_AFTER_EVENT	N/A
ORE1	2014.39840	7.34580
PRKV	2014.39290	-2.97149
PRO2	2014.39840	1.91354
PTOL	2014.39840	0.69844
ROZH	2014.39290	0.84104
SALH	2014.39290	4.70576
SAM3	2014.39840	0.17313
SAN9	2014.39290	0.26746
SARY	2014.39290	3.47412
SERR	2014.39840	0.02740
SKOP	2014.39840	-1.99333
SKYR	2014.39290	-0.93654
SMOL	2014.82550	-1.03388
SPET	2014.39840	-1.44708
STRA	2014.39840	-0.99472
SVIL	2014.48320	5.59440
SYRO	2014.39840	-1.69981
TEKR	2014.39290	5.19588
THI1	2014.39840	-1.95760
THS1	2014.39840	-1.31584
VDVA	2014.39290	-1.56685
VERI	2015.17590	0.00000
VOLO	2014.39840	0.23727
XIOS	2014.39840	-0.34460
YENC	2014.39290	5.05675
U
AFYT	2014.39840	0.00000
ALE3	2015.01440	0.00000
ANAV	2014.39840	0.00000
ANDR	2014.39840	0.00000
ATAL	2014.40660	0.00000
AUT1	2014.39290	0.00000
AYD1	2014.39290	0.00000
AYVL	2014.39290	0.00000
BALK	2014.39290	0.00000
BAND	NO_DATA_AFTER_EVENT	N/A
BNDR	2014.39290	0.00000
CANA	2014.39290	0.00000
CESM	2014.39290	0.00000
DEIR	2014.39290	0.00000
DUTH	2014.39290	0.00000
DYNG	2014.39290	0.00000
EDES	2014.39840	0.00000
EDIR	2014.39290	0.00000
FLO2	2014.39840	0.00000
GOD1	2015.01710	0.00000
HALK	2014.39840	0.00000
HAR3	2014.41480	0.00000
IPS1	2014.43120	0.00000
IPSA	2014.39290	0.00000
ISTI	2014.39840	0.00000
IZMI	2014.39290	0.00000
KAL1	2015.01440	0.00000
KAL2	2014.82550	0.00000
KATE	2014.39290	0.00000
KAV1	2014.39840	0.00000
KIKA	2014.39290	0.00000
KIRL	2014.39290	0.00000
KOMO	2014.40380	0.00000
KORI	2014.39840	0.00000
KRU1	2014.39840	0.00000
KRYO	NO_DATA_AFTER_EVENT	N/A
KYMI	2015.01440	0.00000
LEMN	2014.39290	0.00000
LES4	2015.01440	0.00000
LYGO	2015.04180	0.00000
MET0	2014.39840	0.00000
NOA1	2014.39290	0.00000
NVRK	NO_DATA_AFTER_EVENT	N/A
ORE1	2014.39840	0.00000
PRKV	2014.39290	0.00000
PRO2	2014.39840	0.00000
PTOL	2014.39840	0.00000
ROZH	2014.39290	0.00000
SALH	2014.39290	0.00000
SAM3	2014.39840	0.00000
SAN9	2014.39290	0.00000
SARY	2014.39290	0.00000
SERR	2014.39840	0.00000
SKOP	2014.39840	0.00000
SKYR	2014.39290	0.00000
SMOL	2014.82550	0.00000
SPET	2014.39840	0.00000
STRA	2014.39840	0.00000
SVIL	2014.48320	0.00000
SYRO	2014.39840	0.00000
TEKR	2014.39290	0.00000
THI1	2014.39840	0.00000
THS1	2014.39840	0.00000
VDVA	2014.39290	0.00000
VERI	2015.17590	0.00000
VOLO	2014.39840	0.00000
XIOS	2014.39840	0.00000
YENC	2014.39290	0.00000
EQ5.2 : 2014.3918
E
AFYT	2014.39840	0.00000
ALE3	2015.01440	0.00000
ANAV	2014.39840	0.00000
ANDR	2014.39840	0.00000
ATAL	2014.40660	0.00000
AUT1	2014.39290	0.00000
AYD1	2014.39290	0.00000
AYVL	2014.39290	0.00000
BALK	2014.39290	0.00000
BAND	NO_DATA_AFTER_EVENT	N/A
BNDR	2014.39290	0.00000
CANA	2014.39290	0.00000
CESM	2014.39290	0.00000
DEIR	2014.39290	0.00000
DUTH	2014.39290	0.00000
DYNG	2014.39290	0.00000
EDES	2014.39840	0.00000
EDIR	2014.39290	0.00000
FLO2	2014.39840	0.00000
GOD1	2015.01710	0.00000
HALK	2014.39840	0.00000
HAR3	2014.41480	0.00000
IPS1	2014.43120	0.00000
IPSA	2014.39290	0.00000
ISTI	2014.39840	0.00000
ISTN	2014.39290	0.00000
IZMI	2014.39290	0.00000
KAL1	2015.01440	0.00000
KAL2	2014.82550	0.00000
KATE	2014.39290	0.00000
KAV1	2014.39840	0.00000
KIKA	2014.39290	0.00000
KIRL	2014.39290	0.00000
KOMO	2014.40380	0.00000
KORI	2014.39840	0.00000
KRU1	2014.39840	0.00000
KRYO	NO_DATA_AFTER_EVENT	N/A
KYMI	2015.01440	0.00000
LEMN	2014.39290	0.00000
LES4	2015.01440	0.00000
LYGO	2015.04180	0.00000
MET0	2014.39840	0.00000
NOA1	2014.39290	0.00000
NVRK	NO_DATA_AFTER_EVENT	N/A
ORE1	2014.39840	0.00000
PRKV	2014.39290	0.00000
PRO2	2014.39840	0.00000
PTOL	2014.39840	0.00000
ROZH	2014.39290	0.00000
SALH	2014.39290	0.00000
SAN9	2014.39290	0.00000
SARY	2014.39290	0.00000
SERR	2014.39840	0.00000
SKOP	2014.39840	0.00000
SKYR	2014.39290	0.00000
SMOL	2014.82550	0.00000
SPET	2014.39840	0.00000
STRA	2014.39840	0.00000
SVIL	2014.48320	0.00000
SVRT	2014.48320	0.00000
SYRO	2014.39840	0.00000
TEKR	2014.39290	0.00000
THI1	2014.39840	0.00000
THS1	2014.39840	0.00000
VDVA	2014.39290	0.00000
VERI	2015.17590	0.00000
VOLO	2014.39840	0.00000
XIOS	2014.39840	0.00000
YENC	2014.39290	0.00000
YLDZ	2014.58180	0.00000
YSST	2014.48320	0.00000
N
AFYT	2014.39840	-0.79554
ALE3	2015.01440	0.00000
ANAV	2014.39840	-1.61834
ANDR	2014.39840	1.65758
ATAL	2014.40660	0.75467
AUT1	2014.39290	1.56019
AYD1	2014.39290	2.00033
AYVL	2014.39290	2.51500
BALK	2014.39290	2.85438
BAND	NO_DATA_AFTER_EVENT	N/A
BNDR	2014.39290	0.04415
CANA	2014.39290	16.00382
CESM	2014.39290	-0.20605
DEIR	2014.39290	2.82219
DUTH	2014.39290	1.73646
DYNG	2014.39290	-0.35740
EDES	2014.39840	-1.14347
EDIR	2014.39290	10.85586
FLO2	2014.39840	1.53351
GOD1	2015.01710	0.00000
HALK	2014.39840	-1.50900
HAR3	2014.41480	0.00000
IPS1	2014.43120	0.00000
IPSA	2014.39290	17.03310
ISTI	2014.39840	-1.94607
ISTN	2014.39290	-0.95068
IZMI	2014.39290	2.88045
KAL1	2015.01440	0.00000
KAL2	2014.82550	-5.63353
KATE	2014.39290	1.94043
KAV1	2014.39840	-2.41446
KIKA	2014.39290	2.09309
KIRL	2014.39290	3.86142
KOMO	2014.40380	6.57562
KORI	2014.39840	-2.14052
KRU1	2014.39840	5.56823
KRYO	NO_DATA_AFTER_EVENT	N/A
KYMI	2015.01440	0.00000
LEMN	2014.39290	-50.51645
LES4	2015.01440	0.00000
LYGO	2015.04180	0.00000
MET0	2014.39840	-2.08853
NOA1	2014.39290	1.48049
NVRK	NO_DATA_AFTER_EVENT	N/A
ORE1	2014.39840	7.34580
PRKV	2014.39290	-2.97149
PRO2	2014.39840	1.91354
PTOL	2014.39840	0.69844
ROZH	2014.39290	0.84104
SALH	2014.39290	4.70576
SAN9	2014.39290	0.26746
SARY	2014.39290	3.47412
SERR	2014.39840	0.02740
SKOP	2014.39840	-1.99333
SKYR	2014.39290	-0.93654
SMOL	2014.82550	-1.03388
SPET	2014.39840	-1.44708
STRA	2014.39840	-0.99472
SVIL	2014.48320	5.59440
SVRT	2014.48320	16.81641
SYRO	2014.39840	-1.69981
TEKR	2014.39290	5.19588
THI1	2014.39840	-1.95760
THS1	2014.39840	-1.31584
VDVA	2014.39290	-1.56685
VERI	2015.17590	0.00000
VOLO	2014.39840	0.23727
XIOS	2014.39840	-0.34460
YENC	2014.39290	5.05675
YLDZ	2014.58180	0.00000
YSST	2014.48320	1.44722
U
AFYT	2014.39840	0.00000
ALE3	2015.01440	0.00000
ANAV	2014.39840	0.00000
ANDR	2014.39840	0.00000
ATAL	2014.40660	0.00000
AUT1	2014.39290	0.00000
AYD1	2014.39290	0.00000
AYVL	2014.39290	0.00000
BALK	2014.39290	0.00000
BAND	NO_DATA_AFTER_EVENT	N/A
BNDR	2014.39290	0.00000
CANA	2014.39290	0.00000
CESM	2014.39290	0.00000
DEIR	2014.39290	0.00000
DUTH	2014.39290	0.00000
DYNG	2014.39290	0.00000
EDES	2014.39840	0.00000
EDIR	2014.39290	0.00000
FLO2	2014.39840	0.00000
GOD1	2015.01710	0.00000
HALK	2014.39840	0.00000
HAR3	2014.41480	0.00000
IPS1	2014.43120	0.00000
IPSA	2014.39290	0.00000
ISTI	2014.39840	0.00000
ISTN	2014.39290	0.00000
IZMI	2014.39290	0.00000
KAL1	2015.01440	0.00000
KAL2	2014.82550	0.00000
KATE	2014.39290	0.00000
KAV1	2014.39840	0.00000
KIKA	2014.39290	0.00000
KIRL	2014.39290	0.00000
KOMO	2014.40380	0.00000
KORI	2014.39840	0.00000
KRU1	2014.39840	0.00000
KRYO	NO_DATA_AFTER_EVENT	N/A
KYMI	2015.01440	0.00000
LEMN	2014.39290	0.00000
LES4	2015.01440	0.00000
LYGO	2015.04180	0.00000
MET0	2014.39840	0.00000
NOA1	2014.39290	0.00000
NVRK	NO_DATA_AFTER_EVENT	N/A
ORE1	2014.39840	0.00000
PRKV	2014.39290	0.00000
PRO2	2014.39840	0.00000
PTOL	2014.39840	0.00000
ROZH	2014.39290	0.00000
SALH	2014.39290	0.00000
SAN9	2014.39290	0.00000
SARY	2014.39290	0.00000
SERR	2014.39840	0.00000
SKOP	2014.39840	0.00000
SKYR	2014.39290	0.00000
SMOL	2014.82550	0.00000
SPET	2014.39840	0.00000
STRA	2014.39840	0.00000
SVIL	2014.48320	0.00000
SVRT	2014.48320	0.00000
SYRO	2014.39840	0.00000
TEKR	2014.39290	0.00000
THI1	2014.39840	0.00000
THS1	2014.39840	0.00000
VDVA	2014.39290	0.00000
VERI	2015.17590	0.00000
VOLO	2014.39840	0.00000
XIOS	2014.39840	0.00000
YENC	2014.39290	0.00000
YLDZ	2014.58180	0.00000
YSST	2014.48320	0.00000
EQ6.1 : 2015.8767
E
ABEL	2015.87950	0.00000
AGRI	2015.87680	0.00000
AIGI	2015.94520	0.00000
AMFI	2015.89600	0.00000
ANOC	2015.87680	0.00000
ARSA	2015.87680	0.00000
ART1	2015.87680	0.00000
ASSO	2015.94520	0.00000
DRA1	2015.89600	0.00000
EGIO	2016.51200	0.00000
EXAN	2015.89870	0.00000
EYPA	2015.87680	0.00000
FISK	2015.91790	0.00000
GAL3	2015.87680	0.00000
GEYB	2015.88230	0.00000
HIMA	2015.87680	0.00000
IGOU	2015.87680	0.00000
ITEA	2015.87680	0.00000
KARP	2015.87680	0.00000
KASI	2015.87680	0.00000
KIPO	2015.88230	0.00000
KLOK	2015.87680	0.00000
KOPA	2015.87680	0.00000
KOUN	2015.87680	0.00000
KRDI	2015.87680	0.00000
KRIN	2015.87680	0.00000
KTCH	2015.87680	0.00000
LAM8	2015.96710	0.00000
LAMJ	2015.87680	0.00000
LARM	2015.87680	0.00000
LEPE	2015.87680	0.00000
LFKD	2015.87680	0.00000
LIDO	2015.87680	0.00000
MESA	2015.87680	0.00000
MESO	2015.87680	0.00000
NAFP	2015.87680	0.00000
PAT0	2015.87680	0.00000
PATR	2015.87680	0.00000
PAXO	2015.87680	0.00000
PONT	2015.87680	0.00000
PSAR	2015.87680	0.00000
PSAT	2015.87680	0.00000
PVOG	2016.00000	0.00000
PYL1	2015.87680	0.00000
PYRG	2015.87680	0.00000
RETS	2015.87680	0.00000
RGNI	2015.88770	0.00000
RLSO	2015.87680	0.00000
ROD3	2015.87680	0.00000
SISS	2016.10680	0.00000
SPAN	2015.87680	0.00000
SRND	2016.07120	0.00000
STRF	2016.76110	0.00000
TRIZ	2015.87680	0.00000
VALI	2015.87680	0.00000
VLSM	2015.87680	0.00000
VLY1	2016.07670	0.00000
XILI	2015.87680	0.00000
ZAK2	2015.87680	0.00000
N
ABEL	2015.87950	-3.07072
AGRI	2015.87680	1.33681
