Station_ID,Latitude,Longitude,Total Displacement [mm],dE [mm],dN [mm],dH [mm],ux [m],uy [m],uz [m],uxx,uxy,uyx,uyy,uzx,uzy
BNDR,40.3486525482,27.97494641869997,2.439331569249197,0.6699634595716185,2.327938704504211,-0.28668598787843363,-0.0004229574742775355,-0.0023852162635791922,-0.00028668598787843363,3.151352118651693e-09,-3.8760040183090885e-09,-9.006135449944915e-09,-1.3811195781371677e-08,-1.6563283777549334e-09,-9.569626426993192e-10
CANA,40.1112056146,26.414336083900025,3.606166274491884,-0.03286338042650936,3.5827826955934623,-0.4086849075579588,0.00040718612078230465,-0.0035597206784604984,-0.0004086849075579588,7.588692353038909e-09,4.686070462926722e-09,1.0320802898825306e-08,-2.6517910537483808e-08,1.7179221399450076e-09,-1.8042051353296169e-09
CESM,38.3038153588,26.3725707982,46.81859121968823,-7.980425608316704,45.582757341538844,7.106723861863319,0.012701403578242017,-0.04449886860236012,0.007106723861863319,1.2132304272436934e-07,2.9338848263330875e-07,1.1065412290964403e-06,-6.481808632528386e-07,-1.987502887045334e-07,2.9100594154551426e-07
DATC,36.7085723539,27.691835665099973,4.964732029274415,1.4342311028641068,-4.742356681985043,0.3187449872739567,-0.0019220854910515228,0.0045664595827271046,0.00031874498727395674,-2.8115768711519247e-08,4.761298576635567e-09,8.323257552655298e-08,2.152164763592596e-09,-9.75984758179983e-09,-1.8058011986385854e-08
DEI1,39.0508993781,28.662686939600007,2.581844644818998,1.3644758298592625,2.1881640026979294,0.12675084618018162,-0.0011282756679162204,-0.0023188035730008164,0.0001267508461801816,-1.0996182652588699e-08,-3.795263000501632e-09,-2.884944411436061e-08,-2.9480100641916946e-10,-2.9324987444242455e-09,5.358118112674326e-09
DEIR,39.0348514814,28.648405101399987,2.616944474552288,1.3859648802052316,2.2157321704344852,0.13427837737005865,-0.0011467653407873507,-0.002348466936839752,0.00013427837737005864,-1.1357424823276495e-08,-3.792906851079372e-09,-2.9556849090540423e-08,-1.4331093496027726e-10,-2.9508139288634712e-09,5.53205290541062e-09
DIDI,37.3721296973,27.26866140419997,11.170634352630909,1.966941685910609,-10.030752224350541,4.505354820443289,-0.00300466568898064,0.009770201322365302,0.004505354820443289,-1.8105684128378043e-07,-2.3063503267511642e-07,4.395327977938014e-07,2.8291628466930094e-07,5.274367396664346e-08,-1.6316372630382768e-07
DSLN,36.4608693203,25.38922897330002,4.922860838760503,-1.9881113764992857,-4.4937299775771695,-0.29725894613984866,0.0015074976054633704,0.004676927081563684,-0.00029725894613984866,-5.863831723762139e-09,-1.4733892072926132e-08,-5.436901511006156e-08,-2.4477533211148124e-08,9.860234990705184e-09,-3.973409206204265e-09
DUTH,41.1402123929,24.916802209799982,1.2344779175402443,-0.22402568814948606,1.2076703878775141,-0.12361413425422511,0.0003490343817682956,-0.001177637582217339,-0.00012361413425422511,-9.306802421779171e-11,1.985190876409089e-09,5.579147191092066e-09,-3.825697673114051e-09,1.1137420921315186e-09,2.1844209061060604e-11
EDIR,41.6767128926,26.551012440399973,1.3008496775053064,0.03716055581003918,1.285991272641583,-0.19249785257823004,9.746570510769936e-05,-0.0012828308136875605,-0.00019249785257823004,1.7460660751453906e-09,6.814449922315804e-10,1.5188762055639134e-09,-5.8750032160916894e-09,3.2587090704608256e-10,-7.251634219415322e-10
GODA,40.1971577914,25.903455022199974,2.955950120251837,-0.31234868925828335,2.9234657643139763,-0.30565885333093057,0.0006162229942162784,-0.0028748013844779596,-0.00030565885333093054,3.181931740254898e-09,6.048978268989361e-09,1.4468289339477501e-08,-1.7443692741361023e-08,2.475079786270082e-09,-7.127703541889451e-10
GVDS,34.8314719014,24.08120616039997,1.1169573067567338,-0.43663149726032546,-1.022040544755409,-0.11126403549004127,0.0003274072566923081,0.0010620821191362484,-0.00011126403549004127,-4.0687043088164003e-10,-1.632244054239989e-09,-5.409465539616353e-09,-2.9374891357943324e-09,1.2069445326111764e-09,-1.5046894670075257e-10
HAR3,41.9235503811,25.916516465100017,1.0865406737443464,-0.04400798614959336,1.074398897266191,-0.15588759543038594,0.00015607217146453023,-0.0010639131405270341,-0.00015588759543038594,1.0653755267838854e-09,9.68894593615881e-10,2.251198894832408e-09,-4.240768383319854e-09,4.911187244782966e-10,-4.790499444722224e-10
HARM,41.8844415837,25.84633229719998,1.096055048915177,-0.05364266032859675,1.08364704635307,-0.15546129478294368,0.00016662076070241005,-0.0010721035295995496,-0.00015546129478294368,1.0350043285161074e-09,1.0337914899752733e-09,2.4171113546194424e-09,-4.2553559839963796e-09,5.255592524214324e-10,-4.664665255907286e-10
HERA,35.3241276658,25.141503162899998,2.2163786290538763,-0.6873929186136583,-2.088272555790367,-0.28096785492170984,0.0004653433871416035,0.0021486849056739366,-0.00028096785492170984,1.6646176998193347e-09,-3.838351450012101e-09,-1.0366161943891883e-08,-1.0953487760405033e-08,2.3017628096629016e-09,7.904208474817062e-10
IDI0,35.288808933,24.890399762000012,1.9357836993915065,-0.6609994250297443,-1.8051927896002216,-0.2271943734241319,0.0004686843728191614,0.0018643970087375145,-0.0002271943734241319,6.128919241320486e-10,-3.447677189706798e-09,-9.899062210352971e-09,-8.219038158012072e-09,2.1888873486882903e-09,3.2957835146492353e-10
IERA,35.0530693748,25.797232298600026,2.3422118267973584,-0.4395213118385097,-2.2732878512961725,-0.3534679662690887,0.00019949028244337086,0.0023067770298886014,-0.0003534679662690887,4.0797439435471535e-09,-1.8538176774677467e-09,-4.417356978867379e-09,-1.4058225196652031e-08,1.0091318363649086e-09,1.8270260927999352e-09
IKAR,37.6282039878,26.224234334699982,25.347878778074897,4.339719689236857,-15.31435246134145,19.726946044855364,-0.005916731979430073,0.014776834606062775,0.019726946044855365,-5.140316540545625e-07,3.896528960957491e-06,-1.8628610500576352e-06,4.96124240800797e-06,-1.8162509396145668e-06,-1.8911599274856188e-07
IPS1,40.9214661402,26.385508862999984,1.9811593168772508,0.0005716011250427196,1.9631594419747045,-0.26645246763213476,0.00020463756978472691,-0.001952464797730008,-0.00026645246763213476,3.108774823489348e-09,1.7519770761193345e-09,3.9075547324659784e-09,-1.086332937099098e-08,7.705703731704525e-10,-1.1022478448470744e-09
IPS4,40.9219251616,26.38526212310001,1.9805292101900471,0.0005105486602297233,1.9625335489459164,-0.26637898006003774,0.00020463286416128046,-0.0019518359516883937,-0.00026637898006003774,3.1069963265248564e-09,1.751637411407838e-09,3.906888709228972e-09,-1.0857893812912554e-08,7.704889012030829e-10,-1.1017786911889245e-09
IPSA,40.9175332766,26.37978245300002,1.9849102176999434,-0.0012522723453494593,1.9669178810910946,-0.26664780739343863,0.00020684431575053452,-0.0019560120010326115,-0.00026664780739343863,3.1098285237449467e-09,1.771954835538425e-09,3.9536418064867555e-09,-1.0886933462847196e-08,7.792026293209173e-10,-1.1015759946431347e-09
ISTN,40.9909629543,28.831636081800013,1.3253719430856639,0.433490147514984,1.2423791729386349,-0.1587169498649078,-0.00030125145738706116,-0.0012808853487984084,-0.0001587169498649078,6.748121088361144e-10,-1.9295650261084324e-09,-4.8747182150291125e-09,-4.998811695034546e-09,-9.988363536181322e-10,-2.98840981302582e-10
IZMI,38.3948077729,27.081822277699985,32.99103394841312,11.921932431586201,30.619174469050346,2.9566878286176697,-0.008656047584539611,-0.03169762070382629,0.0029566878286176696,8.306793798134664e-08,-2.2442595707726664e-07,-6.241757428494213e-07,-5.047272888157446e-07,6.105469802401373e-08,1.5739941923774095e-07
KALY,36.9558024293,26.97615189200002,18.804219697171337,2.516730721402895,-18.607515399133053,-1.0124799091634349,-0.004447958797081736,0.018242511488073404,-0.0010124799091634348,1.9546152418579983e-08,9.555416515767267e-08,3.2012625121919196e-07,-2.4579512796350177e-07,-5.03802495194891e-08,-1.4637722711178606e-08
